0,0,0,0,6,2,0,0,36,0,0,0,3,4,0,0,7,2,0,0,1,0,0,4,35,0,0,0,0,0,0,0,0,6,0,0,2,1,13,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,1,3,22,0,4,0,1,0,4,6,0,1,0,1,0,1,3,0,0,2,0,5,1,19,3,4,1,0,0,0,3,0,2,0,0,1,0,0,1,0,0,3,3,0,0,4,0,16,0,14,4,14,0,3,0,1,1,6,0,0,0,1,0,28
0,0,0,0,0,0,0,1,2,0,12,0,0,0,8,11,0,0,10,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,1,0,0,0,5,0,0,0,9,0,0,2,0,0,0,1,0,0,1,1,0,1,2,5,1,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,9,0,0,0,0,5,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,7,5,0,0
0,0,0,0,0,0,19,3,1,46,0,2,0,1,1,0,1,1,0,0,5,14,0,2,2,0,2,1,0,1,25,2,3,1,40,1,2,28,1,9,0,1,0,0,1,0,0,2,37,2,9,1,3,53,0,2,7,14,0,2,2,2,0,81,4,0,3,0,0,0,1,5,4,0,0,2,0,3,2,0,0,50,0,0,10,0,0,0,2,0,1,2,0,10,1,34,1,1,2,3,55,1,9,0,0,0,0,27,3,0,0,1,0,0,6,0,1,1,0,59,0,12,0,5,1,1,3,0,1,0
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,18,5,0,0,0,4,0,0,0,0,0,0,0,0,0,6,3,0,0,14,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,1
3,0,0,0,0,49,0,0,0,1,0,0,0,1,1,0,12,18,1,0,0,0,0,7,13,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,10,3,2,7,4,2,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,44,31,1,1,1,0,2,1,0,1,1,4,0,0,17,24,0,0,0,0,0,10,3,1,0,0,0,0,14,0,1,0,0,0,0,0,4,4,0,0,0,1,0,16,0,3,8,19,4,39,3,0,0,0,0,11,27,0,0,0,0,12
3,0,0,0,42,0,0,0,0,0,0,1,1,0,0,0,20,16,0,0,0,0,0,8,20,0,1,0,0,0,0,0,1,3,0,0,0,0,5,5,5,3,0,2,0,0,5,0,0,0,1,1,1,0,0,0,0,1,0,1,2,0,1,0,3,1,2,1,24,22,2,1,4,0,4,1,0,0,1,2,0,0,17,29,0,1,1,0,2,10,19,1,0,0,0,0,17,0,2,1,0,0,0,0,2,1,0,0,0,0,1,14,0,0,13,22,11,33,2,0,0,0,0,20,27,1,0,0,3,9
1,0,8,0,0,2,0,0,0,11,0,35,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,1,1,2,0,0,0,4,0,0,1,1,12,0,0,0,0,1,0,3,0,3,4,5,9,0,22,0,0,2,0,0,0,0,1,0,16,3,2,1,0,3,6,0,0,9,2,1,0,0,0,4,30,0,36,0,0,0,0,0,35,0,0,0,37,0,13,1,1,0,0,44,0,5,22,41,1,29,0,4,3,55,1,1,0,0,1,1,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,4,0,3,0,0,0,2,5,0,1,0,7,0,0,0,0,0,0,1,0,12,20,25,0,0,0,0,23,0,0,0,0,5,0,0,0,0,0,2,0,6,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,2,0,0,0,0,0,0,1,5,0,0,9,0,3,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0
16,3,0,0,0,0,0,1,0,2,3,1,0,13,0,4,0,4,0,0,3,1,0,1,1,2,11,0,8,0,2,0,0,0,0,0,0,1,1,3,1,4,0,0,1,1,2,2,0,2,0,0,3,1,1,0,1,0,3,5,2,0,0,0,1,52,2,0,2,1,1,1,5,1,2,8,1,0,1,0,0,0,0,0,10,6,0,3,18,1,1,3,0,2,1,0,5,10,0,6,2,0,1,0,0,0,0,9,0,0,0,0,2,0,0,3,0,2,0,4,5,5,5,0,1,2,0,1,0,1
0,1,36,1,2,0,16,4,1,0,3,1,0,1,0,1,0,0,0,0,2,34,0,1,0,0,3,3,0,0,43,2,13,1,56,2,0,47,0,5,2,0,1,0,0,2,4,0,26,12,4,11,2,22,0,2,1,7,0,1,1,0,0,63,2,0,1,0,0,3,2,1,1,1,1,0,0,1,0,0,0,32,1,1,1,0,1,0,1,0,2,0,0,10,0,18,0,1,3,0,28,3,4,0,0,0,0,14,0,1,3,0,0,0,1,0,1,0,0,21,2,3,6,1,2,1,2,1,1,1
